Date,Open,High,Low,Close
01-Oct-13,1682.41,1696.55,1682.07,1695
02-Oct-13,1691.9,1693.87,1680.34,1693.87
03-Oct-13,1692.35,1692.35,1670.36,1678.66
04-Oct-13,1678.79,1691.94,1677.33,1690.5
07-Oct-13,1687.15,1687.15,1674.7,1676.12
08-Oct-13,1676.22,1676.79,1655.03,1655.45
09-Oct-13,1656.99,1662.47,1646.47,1656.4
10-Oct-13,1660.88,1692.56,1660.88,1692.56
11-Oct-13,1691.09,1703.44,1688.52,1703.2
14-Oct-13,1699.86,1711.03,1692.13,1710.14
15-Oct-13,1709.17,1711.57,1695.93,1698.06
16-Oct-13,1700.49,1721.76,1700.49,1721.54
17-Oct-13,1720.17,1733.45,1714.12,1733.15
18-Oct-13,1736.72,1745.31,1735.74,1744.5
21-Oct-13,1745.2,1747.79,1740.67,1744.66
22-Oct-13,1746.48,1759.33,1746.48,1754.67
23-Oct-13,1752.27,1752.27,1740.5,1746.38
24-Oct-13,1747.48,1753.94,1745.5,1752.07
25-Oct-13,1756.01,1759.82,1752.45,1759.77
28-Oct-13,1759.42,1764.99,1757.67,1762.11
29-Oct-13,1762.93,1772.09,1762.93,1771.95
30-Oct-13,1772.27,1775.22,1757.24,1763.31
31-Oct-13,1763.24,1768.53,1755.72,1756.54
01-Nov-13,1758.7,1765.67,1752.7,1761.64
04-Nov-13,1763.4,1768.78,1761.56,1767.93
05-Nov-13,1765.67,1767.03,1755.76,1762.97
06-Nov-13,1765,1773.74,1764.4,1770.49
07-Nov-13,1770.74,1774.54,1746.2,1747.15
08-Nov-13,1748.37,1770.78,1747.63,1770.61
11-Nov-13,1769.96,1773.44,1767.85,1771.89
12-Nov-13,1769.51,1771.78,1762.29,1767.69
13-Nov-13,1764.37,1782,1760.64,1782
14-Nov-13,1782.75,1791.53,1780.22,1790.62
15-Nov-13,1790.66,1798.22,1790.66,1798.18
18-Nov-13,1798.82,1802.33,1788,1791.53
19-Nov-13,1790.79,1795.51,1784.72,1787.87
20-Nov-13,1789.59,1795.73,1777.23,1781.37
21-Nov-13,1783.52,1797.16,1783.52,1795.85
22-Nov-13,1797.21,1804.84,1794.7,1804.76
25-Nov-13,1806.33,1808.1,1800.58,1802.48
26-Nov-13,1802.87,1808.42,1800.77,1802.75
27-Nov-13,1803.48,1808.27,1802.77,1807.23
